Actual,Predicted,Error,Error_%
0.796,0.7889549,-0.007045086383819621,0.8850611034949272
0.838,0.8373227,-0.000677288055419889,0.0808219636539247
1.092,1.1149892,0.02298916149139396,2.105234568808971
0.819,0.8182476,-0.0007523837089538077,0.09186614272940265
0.342,0.3416869,-0.0003130955696106219,0.0915484121668485
0.607,0.6028931,-0.004106885910034164,0.6765874645855294
0.858,0.8553497,-0.00265028047561644,0.3088904983235944
0.582,0.585609,0.0036090188026428605,0.6201063234781548
1.041,1.0430472,0.0020471897125244887,0.19665607228861565
0.917,0.9164419,-0.0005580825805664436,0.06085960529623157
0.528,0.5324654,0.004465398311614965,0.8457193771998041
0.963,0.9600104,-0.002989590644836393,0.3104455498272474
0.75,0.75314564,0.0031456351280212402,0.4194180170694987
0.193,0.16542265,-0.02757735180854798,14.28878332049118
1.032,1.034011,0.002011006355285616,0.19486495690752093
0.973,0.97149915,-0.0015008549690246342,0.15425025375381646
0.563,0.55391407,-0.009085929870605414,1.6138418953117966
1.002,1.0084853,0.006485317230224608,0.64723724852541
0.754,0.7491215,-0.004878512859344486,0.647017620602717
0.323,0.3189511,-0.004048899888992319,1.2535293773970027
0.918,0.9262959,0.008295876502990684,0.903690250870445
0.936,0.9341253,-0.0018746957778931206,0.20028801045866673
0.921,0.9189006,-0.002099390983581584,0.22794690375478652
1.062,1.060188,-0.0018119449615479066,0.17061628639810797
0.934,0.93091726,-0.003082736968994193,0.33005749132700135
0.605,0.5976803,-0.0073197293281555,1.2098726162240496
0.822,0.81967956,-0.002320441722869826,0.2822921803977891
0.797,0.7905235,-0.006476470947265667,0.8126061414386031
0.786,0.7858846,-0.00011538124084475854,0.01467954718126699
0.992,0.9833182,-0.008681790351867669,0.8751804790189182
0.849,0.8511637,0.0021636853218078844,0.25485103908220075
0.965,0.96670413,0.0017041301727295233,0.17659380028285215
0.916,0.91642004,0.000420042514800989,0.04585616973809923
0.711,0.7033268,-0.007673178672790493,1.0792093773263705
0.617,0.60933137,-0.007668630599975579,1.242889886543854
0.843,0.8393066,-0.003693407058715792,0.43812657873259686
0.124,0.12652397,0.0025239715576171884,2.035460933562249
0.84,0.8392017,-0.0007983112335204767,0.09503705160958056
0.568,0.56082326,-0.007176738262176463,1.2635102574254338
0.133,0.12256252,-0.010437479794025428,7.84772916844017
0.055,0.08541966,0.030419662296772003,55.30847690322182
0.97,0.9725126,0.0025126028060913352,0.25903121712281807
1.002,1.0023878,0.00038776206970214666,0.03869880935151165
0.141,0.12898564,-0.012014356613159166,8.520820293020687
0.882,0.88423157,0.0022315673828124938,0.2530121749220514
1.053,1.0473348,-0.005665209770202573,0.5380066258501969
0.578,0.5709744,-0.007025590419769245,1.215500072624437
0.929,0.9284507,-0.0005492963790894034,0.059127704961184434
0.577,0.58443207,0.007432065486908002,1.2880529440048532
0.246,0.21629655,-0.029703446388244625,12.074571702538465
0.896,0.897837,0.0018369832038879208,0.20502044686249113
0.69,0.6945788,0.00457882642745977,0.6635980329651842
0.675,0.6764083,0.001408290863037065,0.20863568341289848
0.957,0.95431256,-0.002687437057495079,0.2808189192784827
0.924,0.92800343,0.00400343036651607,0.43327168468788635
1.023,1.023452,0.0004520435333252859,0.04418802867304848
