Actual,Predicted,Error,Error_%
0.952,0.9564398510816106,0.004439851081610602,0.4663709119338868
0.921,0.9151197298708867,-0.005880270129113296,0.6384658120644187
0.98,0.9775555572475391,-0.002444442752460918,0.2494329339245835
0.113,0.12415369135034943,0.011153691350349423,9.870523318893294
0.843,0.8425448875128823,-0.0004551124871177148,0.053987246395932956
0.547,0.5487764227702259,0.0017764227702258273,0.3247573620156905
1.024,1.0274875319055294,0.0034875319055294174,0.3405792876493572
0.91,0.914961468699548,0.004961468699547944,0.5452163406096642
0.892,0.8938976232596261,0.0018976232596260578,0.21273803359036525
0.926,0.9240296691243883,-0.0019703308756117144,0.21277871226908363
0.351,0.35573335268892425,0.004733352688924275,1.3485335296080556
1.065,1.059620275827564,-0.00537972417243604,0.505138419947046
0.626,0.6284154432544055,0.0024154432544054583,0.3858535550168464
0.567,0.5655681670998328,-0.0014318329001671293,0.2525278483539911
0.852,0.849527879560734,-0.0024721204392660345,0.2901549811345111
0.726,0.7347764971993241,0.008776497199324163,1.2088839117526395
0.968,0.9661562189732538,-0.0018437810267462051,0.1904732465646906
0.989,0.9888903586665241,-0.00010964133347590721,0.011086080230122064
0.7,0.690966627140427,-0.009033372859572952,1.2904818370818505
0.659,0.6668207623875279,0.007820762387527824,1.1867621225383647
0.786,0.7852988990822977,-0.0007011009177023686,0.08919859003846929
0.659,0.6532946393555648,-0.005705360644435276,0.8657603405819841
0.859,0.8592279725598481,0.00022797255984807752,0.026539296839124277
0.907,0.9088964606248109,0.0018964606248108584,0.2090915793617264
0.193,0.18787960474863527,-0.005120395251364734,2.6530545343858725
0.729,0.7255417119695216,-0.003458288030478429,0.47438793285026465
0.277,0.27653093183942873,-0.0004690681605712954,0.16933868612682143
0.624,0.6265921859029941,0.0025921859029941485,0.4154144075311135
1.02,1.025237214047674,0.005237214047673966,0.5134523576150947
0.941,0.936167999406645,-0.004832000593354979,0.5134963436083931
0.823,0.8302769657989997,0.007276965798999724,0.8841999755771232
0.885,0.8872845370596119,0.0022845370596118464,0.2581397807471013
1.009,1.0055253297591584,-0.003474670240841471,0.3443677146522766
0.779,0.7830787353909818,0.0040787353909818025,0.5235860578924008
0.784,0.7829376227524583,-0.001062377247541768,0.13550730198236838
0.918,0.9155881854809581,-0.0024118145190419327,0.26272489314182274
0.68,0.6804750340220084,0.0004750340220083249,0.06985794441298895
0.829,0.8351390558969216,0.006139055896921652,0.7405375026443489
1.009,1.0084525616208166,-0.0005474383791832516,0.054255538075644365
0.591,0.5938455854926089,0.0028455854926089375,0.48148654697274745
0.957,0.949380798117785,-0.007619201882214988,0.7961548466264355
0.941,0.942314228344814,0.0013142283448140946,0.13966294843932991
1.027,1.0307772941711726,0.0037772941711726737,0.3677988482154503
1.018,1.0168495170596372,-0.0011504829403627959,0.11301404129300549
0.921,0.9226345581967982,0.0016345581967981415,0.1774764600215137
0.958,0.9572015152743878,-0.0007984847256121697,0.08334913628519516
0.538,0.5356260592608603,-0.0023739407391397682,0.44125292549066325
0.461,0.46343936575787736,0.002439365757877343,0.529146585222851
0.581,0.5885379971086897,0.007537997108689742,1.2974177467624342
0.877,0.8814776764291321,0.004477676429132105,0.5105674377573666
0.808,0.8108340392897766,0.0028340392897765465,0.35074743685353293
1.004,1.0039318402497284,-6.815975027163468e-05,0.0067888197481707855
0.941,0.9374818851568252,-0.003518114843174769,0.37386980267532083
1.041,1.0370476483420208,-0.003952351657979136,0.3796687471641822
1.064,1.0593989135934114,-0.004601086406588628,0.432432932950059
0.936,0.9355064064069389,-0.0004935935930611146,0.05273435823302507
0.978,0.9770049564883927,-0.0009950435116072853,0.10174269034839319
0.966,0.9636685151130805,-0.002331484886919477,0.2413545431593662
0.862,0.8627709438887122,0.0007709438887122388,0.08943664602230149
0.835,0.8337014250282436,-0.0012985749717563388,0.15551796068938192
0.134,0.13480462578567148,0.0008046257856714756,0.6004670042324445
0.472,0.46504439822047644,-0.006955601779523535,1.4736444448143082
0.928,0.926234434529025,-0.0017655654709750612,0.19025489988955402
0.855,0.8536157852119073,-0.001384214788092697,0.1618964664435903
0.674,0.6750462444108493,0.0010462444108492175,0.15522914107555155
1.051,1.049769005012947,-0.0012309949870530357,0.11712606917726315
0.577,0.5728747841223922,-0.004125215877607724,0.7149420931729158
0.962,0.9677651503424565,0.005765150342456504,0.5992879773863311
0.965,0.970188772085437,0.005188772085436999,0.5376965891644558
0.819,0.8152736575105058,-0.0037263424894941055,0.4549868729541033
0.971,0.9712735839728966,0.0002735839728966738,0.028175486395126036
0.542,0.5433886550148284,0.0013886550148283217,0.2562094123299486
0.364,0.37197470328648247,0.007974703286482476,2.1908525512314494
0.966,0.9612134829483864,-0.004786517051613592,0.49549865958732847
0.796,0.7997242479917014,0.003724247991701346,0.46787035071624944
0.589,0.580934169524866,-0.008065830475133984,1.3694109465422724
0.969,0.9648978064501488,-0.004102193549851196,0.4233429876007427
1.108,1.1232310186313568,0.015231018631356674,1.3746406707000607
1.024,1.0250746072225947,0.0010746072225946701,0.10494211158151076
0.95,0.9473018530012005,-0.0026981469987994444,0.28401547355783624
0.721,0.7175359458621702,-0.0034640541378297973,0.4804513367309012
0.53,0.5256624253611439,-0.00433757463885609,0.8184103092181301
1.025,1.0186237931915003,-0.006376206808499596,0.6220689569267899
0.904,0.902285519549574,-0.0017144804504259925,0.1896549170825213
0.888,0.8908742478098872,0.0028742478098872093,0.3236765551674785
0.827,0.8279123488680357,0.0009123488680357061,0.11032029843237076
1.005,1.0127206785452374,0.007720678545237503,0.7682267209191546
0.935,0.9360932397238918,0.001093239723891748,0.11692403464082866
1.025,1.019386832793684,-0.005613167206315994,0.5476260689088776
1.001,1.0109118104475683,0.009911810447568392,0.9901908539029364
1.076,1.074972588726759,-0.00102741127324113,0.09548431907445445
0.667,0.6718255449021671,0.004825544902167023,0.723470000324891
0.745,0.7483583582601164,0.003358358260116434,0.45078634363978975
0.849,0.851862115327109,0.002862115327109005,0.3371160573744411
