Actual,Predicted,Error,Error_%
0.885,0.8781749999999993,-0.006825000000000747,0.7711864406780505
0.931,0.9256850000000003,-0.005314999999999737,0.5708915145005087
1.214,1.2170449999999997,0.0030449999999997424,0.25082372322897384
0.91,0.9079650000000001,-0.002034999999999898,0.2236263736263624
0.38,0.38050000000000017,0.000500000000000167,0.131578947368465
0.675,0.6979099999999993,0.02290999999999921,3.3940740740739566
0.954,0.9548799999999996,0.0008799999999996588,0.09224318658277346
0.647,0.6624300000000006,0.01543000000000061,2.384853168469955
1.157,1.152540000000001,-0.00445999999999902,0.3854796888503907
1.018,1.0203900000000004,0.0023900000000003363,0.23477406679767548
0.587,0.5903999999999987,0.0033999999999987374,0.5792163543439076
1.07,1.070025,2.4999999999941735e-05,0.0023364485981253957
0.834,0.8371999999999993,0.0031999999999993145,0.383693045563467
0.214,0.20392000000000013,-0.010079999999999867,4.710280373831713
1.147,1.1440150000000016,-0.002984999999998461,0.2602441150826906
1.081,1.0785349999999991,-0.0024650000000008276,0.22802960222024307
0.626,0.6307500000000009,0.00475000000000092,0.7587859424921598
1.113,1.1132450000000031,0.00024500000000315936,0.02201257861663606
0.838,0.8436400000000006,0.0056400000000006445,0.6730310262530602
0.359,0.36290499999999987,0.003904999999999881,1.0877437325904962
1.02,1.0342049999999972,0.014204999999997137,1.3926470588232487
1.04,1.0403200000000004,0.00032000000000032003,0.03076923076926154
1.024,1.0176700000000005,-0.006329999999999503,0.6181640624999515
1.179,1.1734900000000001,-0.005509999999999904,0.4673452078032149
1.038,1.0331749999999997,-0.004825000000000301,0.4648362235067727
0.672,0.6632399999999999,-0.008760000000000101,1.3035714285714435
0.914,0.9099550000000004,-0.004044999999999632,0.44256017505466433
0.885,0.8785799999999988,-0.0064200000000012025,0.7254237288136952
0.874,0.870289999999999,-0.0037100000000009903,0.4244851258582369
1.102,1.0877399999999984,-0.014260000000001716,1.2940108892923514
0.943,0.9530549999999997,0.010054999999999703,1.0662778366913788
1.072,1.0755599999999998,0.0035599999999997856,0.33208955223878595
1.018,1.0225250000000015,0.0045250000000014445,0.4444990176818707
0.79,0.7973450000000006,0.007345000000000601,0.929746835443114
0.686,0.6988549999999978,0.01285499999999773,1.8739067055390275
0.937,0.9333549999999979,-0.0036450000000021188,0.38900747065124
0.138,0.1454999999999997,0.007499999999999701,5.434782608695436
0.933,0.9326499999999982,-0.00035000000000184883,0.03751339764221316
0.631,0.6216499999999998,-0.009350000000000191,1.481774960380379
0.148,0.15527999999999978,0.007279999999999787,4.918918918918775
0.061,0.11646999999999984,0.05546999999999984,90.93442622950793
1.078,1.0777100000000004,-0.0002899999999996794,0.026901669758782873
1.114,1.1099849999999978,-0.004015000000002322,0.36041292639159084
0.157,0.151785,-0.005214999999999997,3.321656050955412
0.98,0.9835349999999992,0.0035349999999991777,0.36071428571420183
1.17,1.162100000000001,-0.007899999999998908,0.675213675213582
0.642,0.6342150000000009,-0.007784999999999154,1.2126168224297746
1.032,1.0367900000000012,0.004790000000001182,0.46414728682181994
0.642,0.6496400000000004,0.007640000000000424,1.1900311526480412
0.273,0.2785499999999997,0.005549999999999666,2.0329670329669107
0.996,0.9941300000000013,-0.001869999999998706,0.18775100401593436
0.767,0.7661700000000008,-0.0008299999999992203,0.10821382007812519
0.75,0.74752,-0.0024800000000000377,0.33066666666667166
1.063,1.0546900000000026,-0.008309999999997375,0.7817497648163101
1.027,1.0373600000000012,0.010360000000001257,1.0087633885103464
1.136,1.138095,0.00209500000000018,0.1844190140845229
1.039,1.0374599999999992,-0.001540000000000763,0.14821944177100704
0.687,0.6961749999999993,0.009174999999999267,1.3355167394467637
0.902,0.9058849999999989,0.003884999999998917,0.4307095343679509
0.929,0.9278349999999977,-0.001165000000002303,0.1254036598495482
0.481,0.4807649999999997,-0.00023500000000026278,0.04885654885660349
0.39,0.39618500000000023,0.006185000000000218,1.5858974358974918
0.895,0.9026349999999991,0.007634999999999059,0.853072625698219
0.843,0.8363549999999984,-0.006645000000001566,0.7882562277581929
0.755,0.7460649999999996,-0.00893500000000036,1.1834437086093192
1.151,1.1483450000000008,-0.002654999999999186,0.23066898349254436
0.902,0.9092349999999999,0.00723499999999988,0.8021064301551974
1.13,1.1240500000000022,-0.005949999999997679,0.5265486725661663
1.167,1.1590600000000002,-0.007939999999999836,0.6803770351328051
1.156,1.1560500000000014,5.000000000143778e-05,0.004325259515695311
0.655,0.6602749999999997,0.005274999999999697,0.8053435114503352
